Time,X,Y,Z,Vx,Vy,Vz,r,p,y,rx,ry,rz,Ux,Uy,Uz
6.074809789,-0.015,-0.01,0.323,0.095,0.031,0.04,0.01,1.84,-3.63,1.6,-1.2,0.3,-1.5,1.5,0.3289000000000003,
6.084855079,-0.014,-0.01,0.324,0.092,0.031,0.039,0.02,1.8,-3.6,1.6,-1.2,0.3,1.1447999999999983,-0.833,-0.0017999999999999995,
6.09502244,-0.013,-0.01,0.324,0.089,0.031,0.038,0.02,1.77,-3.57,1.6,-1.2,0.3,1.1441000000000017,-0.833,-0.016800000000000013,
6.104949712,-0.012,-0.009,0.324,0.086,0.031,0.037,0.03,1.74,-3.55,1.6,-1.2,0.3,1.1433999999999984,-0.8186999999999983,-0.016800000000000013,
6.114910364,-0.011,-0.008,0.325,0.085,0.034,0.039,0.02,1.68,-3.8,1.6,-1.2,0.3,1.1427000000000016,-0.8194000000000016,-0.0025000000000000022,
6.125169277,-0.01,-0.008,0.325,0.082,0.034,0.04,0.05,1.64,-3.78,1.6,-1.2,0.3,1.1419999999999983,-0.8343999999999999,-0.017500000000000016,
6.134859562,-0.01,-0.008,0.326,0.079,0.034,0.043,0.08,1.63,-3.73,1.6,-1.2,0.3,1.127,-0.8343999999999999,-0.0032000000000000015,
6.144892454,-0.008,-0.008,0.326,0.08,0.034,0.049,0.14,1.63,-3.55,1.6,-1.2,0.3,1.1556,-0.8343999999999999,-0.018200000000000015,
6.154800415,-0.007,-0.007,0.327,0.077,0.035,0.063,0.23,1.71,-3.71,1.6,-1.2,0.3,1.1399000000000017,-0.8200999999999983,-0.0039000000000000007,
6.164906263,-0.006,-0.007,0.327,0.074,0.034,0.08,0.35,1.88,-3.64,1.6,-1.2,0.3,1.1391999999999984,-0.8351,-0.018900000000000014,
6.174889087,-0.006,-0.006,0.328,0.07,0.034,0.103,0.49,2.1,-3.57,1.6,-1.2,0.3,1.1242,-0.8208000000000015,-0.004600000000000003,
6.185106754,-0.005,-0.006,0.329,0.066,0.033,0.129,0.66,2.37,-3.37,1.6,-1.2,0.3,1.1385000000000016,-0.8357999999999999,-0.005300000000000003,
6.195456504,-0.004,-0.006,0.331,0.061,0.033,0.163,0.84,2.69,-3.53,1.6,-1.2,0.3,1.1377999999999984,-0.8357999999999999,0.008300000000000009,
6.204850196,-0.003,-0.005,0.333,0.054,0.031,0.191,1.0,3.04,-3.45,1.6,-1.2,0.3,1.1371000000000016,-0.8214999999999983,0.006900000000000007,
6.214890718,-0.003,-0.005,0.335,0.048,0.029,0.212,1.12,3.41,-3.35,1.6,-1.2,0.3,1.1220999999999999,-0.8365,0.005500000000000005,
6.224913597,-0.002,-0.005,0.337,0.042,0.027,0.234,1.22,3.77,-3.1,1.6,-1.2,0.3,1.1363999999999983,-0.8365,0.004100000000000006,
6.2352943419999995,-0.002,-0.004,0.34,0.033,0.026,0.262,1.29,4.1,-3.2,1.6,-1.2,0.3,1.1214,-0.8222000000000016,0.01700000000000002,
6.24486804,-0.002,-0.004,0.343,0.024,0.024,0.287,1.33,4.37,-3.1,1.6,-1.2,0.3,1.1214,-0.8371999999999999,0.014900000000000014,
