Time,X,Y,Z,Vx,Vy,Vz,r,p,yrx,ry,rz,Ux,Uy,Uz
6.211947679,-0.005,0.001,0.353,-0.013,0.329,0.145,-16.11,-3.48,4.65,1.6,-1.2,0.3,1.1535,-0.8257000000000015,-0.0070999999999999674,
6.221939325,-0.005,0.005,0.354,-0.009,0.357,0.141,-16.33,-3.55,4.84,1.6,-1.2,0.3,1.1235,-0.7834999999999998,-0.02279999999999998,
6.231782913,-0.005,0.008,0.356,-0.005,0.384,0.14,-16.34,-3.61,5.14,1.6,-1.2,0.3,1.1235,-0.8005999999999982,-0.009199999999999965,
6.241677523,-0.005,0.012,0.358,-0.002,0.412,0.137,-16.19,-3.6,5.33,1.6,-1.2,0.3,1.1235,-0.7883999999999999,-0.01059999999999997,
6.25183177,-0.005,0.016,0.359,0.001,0.441,0.134,-15.87,-3.56,5.53,1.6,-1.2,0.3,1.1235,-0.7911999999999999,-0.026299999999999983,
6.261982918,-0.005,0.021,0.36,0.004,0.469,0.133,-15.4,-3.5,5.72,1.6,-1.2,0.3,1.1235,-0.7797000000000015,-0.026999999999999982,
6.272537947,-0.005,0.025,0.362,0.007,0.492,0.137,-14.79,-3.46,6.0,1.6,-1.2,0.3,1.1235,-0.7974999999999998,-0.013399999999999967,
6.282453298,-0.005,0.03,0.364,0.01,0.519,0.137,-14.17,-3.41,6.19,1.6,-1.2,0.3,1.1235,-0.7859999999999983,-0.014799999999999973,
6.292295694,-0.005,0.036,0.365,0.013,0.544,0.138,-13.54,-3.37,6.38,1.6,-1.2,0.3,1.1235,-0.7751999999999999,-0.030499999999999985,
6.302709102,-0.005,0.041,0.367,0.016,0.567,0.132,-12.94,-3.35,6.59,1.6,-1.2,0.3,1.1235,-0.7937000000000015,-0.01689999999999997,
6.312031984,-0.005,0.046,0.369,0.018,0.582,0.13,-12.27,-3.37,6.95,1.6,-1.2,0.3,1.1235,-0.7971999999999982,-0.018299999999999976,
