Time,X,Y,Z,rx,ry,rz,Ux,Uy,Uz
6.358012915,0.048,-0.092,0.583,-1.0236944024038899,-0.44396315999010477,0.55,-1.4999999983985612,-0.8081584627380897,0.30005597651424376,
6.377744913,0.052,-0.09,0.583,-1.016462151427124,-0.4443823743395098,0.583,-1.4999999957215875,-0.8402713889693766,0.30015492860906645,
6.401525497,0.054,-0.088,0.583,-1.0088492831332303,-0.44284629708799217,0.583,-1.4999999958115646,-0.8381452777660662,0.3001503110250558,
6.417909622,0.057,-0.085,0.584,-1.0032691732279873,-0.4423284548646315,0.583,-1.4999999959827985,-0.8455136849095405,0.3001428962923347,
6.437491417,-0.023,-0.073,0.617,-0.9962510312919568,-0.4403107349083099,0.584,-1.4999999995059599,-0.8545538545176657,0.30001601195534605,
6.457666159,-0.025,-0.07,0.619,-0.9902349249391035,-0.43987693938159783,0.617,-1.4999999981180596,-0.8548008446398558,0.3000586658598648,
6.481198788,-0.027,-0.068,0.621,-0.9822653263122674,-0.4386837376174968,0.617,-1.4999999984498795,-0.8559585174481817,0.3000478587823958,
6.497489929,-0.03,-0.067,0.624,-0.9777961266393045,-0.4398265041983089,0.621,-1.4999999984214871,-0.8899396880718534,0.3000486821833384,
6.517849207,-0.034,-0.066,0.627,-0.9706829655303011,-0.4405763217599658,0.624,-1.4999999985872934,-0.9225806797344663,0.3000425306963893,
6.5374124049999995,-0.037,-0.065,0.628,-0.9641163468943396,-0.4405662810474402,0.624,-1.4999999986858141,-0.9278580049025342,0.3000386389104038,
6.557397604,-0.042,-0.067,0.631,-0.9572699807408979,-0.4389743350274077,0.628,-1.4999999986804777,-0.9015055206289032,0.3000374238051858,
6.577673435,-0.049,-0.069,0.634,-0.9506418937098634,-0.4375238620469032,0.631,-1.49999999872154,-0.8722095108815168,0.30003515816323584,
6.597512484,-0.054,-0.072,0.636,-0.9439924021529131,-0.436944053811595,0.631,-1.4999999988734858,-0.8628958139795269,0.30003001849109656,
