Time,X,Y,Z,rx,ry,rz,Ux,Uy,Uz
6.33837986,-0.03,0.009,0.604,1.350755695017081,-0.33702711650500894,0.55,1.499999998705346,-0.49329734943652026,0.3000040041888902,
6.358049393,-0.03,0.008,0.603,1.3645693795560176,-0.3361167934469692,0.604,1.4999999980420007,-0.5401665249059435,0.30005943416711794,
6.378542662,-0.03,0.008,0.603,1.3784105478491337,-0.33595241558852723,0.603,1.4999999947911928,-0.6270231139032224,0.3002320502564019,
6.397871971,-0.029,0.009,0.603,1.3595623899389049,-0.33082014821202144,0.603,1.4999999948923382,-0.6089333294219506,0.3002207217206984,
6.417719126,-0.028,0.008,0.602,1.3843525568496082,-0.3338135522619294,0.603,1.49999999658385,-0.747309483682049,0.30023595106715384,
6.437715054,-0.027,0.008,0.602,1.3985637536004272,-0.3359297119345641,0.602,1.4999999963006923,-0.8758384912000752,0.3003088184322341,
6.4582293029999995,-0.026,0.008,0.601,1.4044389014858292,-0.33484374240941783,0.602,1.4999999961878117,-0.8829229191340073,0.30032865319064456,
6.477726221,-0.025,0.008,0.6,1.4093836676531224,-0.3374580634782564,0.601,1.4999999961075339,-0.9879974725549553,0.3003597738155759,
6.497689009,-0.024,0.007,0.599,1.398383702283724,-0.3371160221369689,0.6,1.499999996190298,-0.9967676575223738,0.30032933806532597,
6.517688274,-0.021,0.006,0.597,1.408798199714713,-0.33856567448428104,0.6,1.4999999960175987,-1.0137981088248706,0.3003575828426168,
6.53767252,-0.018,0.003,0.593,1.3705174985594846,-0.33436508468615983,0.597,1.4999999949024712,-0.8815237621659361,0.30030537225610926,
6.557756424,-0.014,0.0,0.59,1.3662011967502412,-0.3335244550192268,0.593,1.499999994856698,-0.861395265515334,0.3003030239072161,
6.577739239,-0.01,-0.002,0.587,1.362288260001028,-0.33364061814236656,0.593,1.4999999944604219,-0.8623612453824461,0.30032958073895055,
6.598022461,-0.004,-0.007,0.583,1.3571474759852176,-0.3326172318116633,0.587,1.499999994422588,-0.8334686390613145,0.3003203863931416,
6.617687464,0.002,-0.013,0.58,1.3532191308641224,-0.3315174954959486,0.583,1.4999999944285687,-0.7981750733866523,0.3003159374746816,
6.637734413,0.009,-0.02,0.576,1.3492835717037046,-0.3314231669871888,0.583,1.4999999938907627,-0.7827345612249874,0.30035094963495856,
6.657686949,0.017,-0.027,0.572,1.3436610314946849,-0.3299193690981041,0.576,1.4999999939693394,-0.734743073371798,0.3003284801911523,
6.677666187,0.026,-0.036,0.569,1.3397154267590614,-0.3289759065451636,0.572,1.4999999939916735,-0.6981700460457193,0.30032178205545346,
6.697717905,0.036,-0.046,0.565,1.3354239619170178,-0.3284194424200693,0.572,1.4999999934470387,-0.6708180928941598,0.3003538929411015,
6.717698336,0.047,-0.058,0.562,1.3308938430648638,-0.32749396611516235,0.565,1.4999999938001658,-0.6286818267662134,0.3003200043668541,
6.737682819,0.06,-0.069,0.559,1.3269516186243584,-0.3268423501994749,0.562,1.4999999937390736,-0.5983851331363087,0.30031800534520114,
6.757671595,0.073,-0.082,0.557,1.3228151544024296,-0.3261866142492327,0.562,1.499999993478753,-0.5622525672182035,0.3003281314723174,
6.777828455,0.088,-0.096,0.554,1.317856255960289,-0.32548959430233204,0.557,1.499999993693008,-0.5225353375466272,0.30030337899110254,
6.798286438,0.104,-0.111,0.552,1.3135011085468986,-0.32489766781016755,0.554,1.4999999938429494,-0.4825208137596893,0.3002864562981817,
6.81771493,0.12,-0.127,0.549,1.3092824612890648,-0.32427478435607265,0.554,1.4999999934992616,-0.43851239754025534,0.30029972522156984,
6.83775878,0.138,-0.142,0.547,1.304849862593601,-0.32355765492043426,0.549,1.4999999939432946,-0.39607622871072945,0.30026572571754717,
6.857721806,0.157,-0.159,0.544,1.3000346652144539,-0.3228576140454878,0.547,1.499999993956271,-0.34847282377731653,0.30025663483566484,
6.877701283,0.176,-0.175,0.542,1.2955360261689008,-0.3221926759371788,0.547,1.499999993877325,-0.3042718375479774,0.3002540417342883,
6.897669554,0.197,-0.192,0.54,1.2907139298938015,-0.32149888854369196,0.542,1.4999999945353486,-0.25685424986716615,0.3002137008659377,
6.917678595,0.219,-0.209,0.538,1.285797377017752,-0.3201529892922067,0.54,1.4999999949122063,-0.19819760028647548,0.3001899067296571,
6.942107916,0.241,-0.226,0.537,1.2799709966095238,-0.31908805921074584,0.54,1.4999999952328291,-0.1495374268858401,0.3001708384433134,
6.978098392,0.262,-0.231,0.549,1.2718368224727952,-0.3175938501273504,0.537,1.4999999975418423,-0.13116574877201775,0.30008001499558057,
6.981625795,0.286,-0.245,0.552,1.2709926279311976,-0.31743101162582393,0.537,1.499999998226286,-0.0933947665498007,0.30005594001444885,
6.9977607729999995,0.311,-0.26,0.554,1.2671217762072349,-0.3166800336165197,0.537,1.499999998820898,-0.051059669313308555,0.30003637950882867,
7.017819643,0.335,-0.274,0.556,1.2623983657287603,-0.3153673601481552,0.554,1.4999999978609406,-0.0047323758470807845,0.3000606921507819,
7.03780508,0.361,-0.288,0.557,1.2576535442703594,-0.31455502793249535,0.556,1.4999999978190461,0.03203521458898841,0.3000556653239554,
7.057784796,0.386,-0.301,0.559,1.2528242542115846,-0.3135146692848549,0.556,1.4999999985510097,0.0700083378937827,0.3000346355090853,
7.077861786,0.413,-0.314,0.561,1.247734279827715,-0.3146201376998491,0.559,1.4999999982500583,0.07210868619373106,0.3000347342008488,
7.09773016,0.44,-0.326,0.563,1.2427257399130778,-0.3140804098998055,0.561,1.4999999978772285,0.10160858155595374,0.3000331968695237,
7.117704868,0.469,-0.339,0.565,1.2377352612415344,-0.3136457726929555,0.561,1.4999999974811882,0.1359611635911137,0.30002848282738914,
7.137697458,0.497,-0.35,0.567,1.2322259528126918,-0.3122697563329126,0.565,1.4999999948325045,0.17704945367374292,0.30003279265890814,
7.157677889,0.502,-0.339,0.553,1.2287036065392696,-0.311819501240994,0.567,1.4999999875538437,0.14631752318321498,0.3000793637313269,
7.177737713,0.529,-0.347,0.555,1.2238735340941644,-0.31131895483675237,0.567,1.4999999553490129,0.16792270949629765,0.3000741081460654,
7.197672606,0.556,-0.354,0.556,1.2179162836878763,-0.3097914262684401,0.555,1.4361095070431125,0.2064760219664668,0.30004097839410526,
7.217725039,0.583,-0.36,0.556,1.2128972296263576,-0.3088454616783564,0.556,1.3431083568681355,0.228834460096784,0.3000431015819727,
7.2376632690000005,0.611,-0.366,0.557,1.2078563252828705,-0.3080133985885082,0.556,1.2429651049794213,0.24730830136437548,0.3000411885587789,
7.257697105,0.638,-0.371,0.557,1.202242055679671,-0.30716399859977006,0.557,1.133923403855878,0.26609025119115076,0.30004239502456315,
7.27767992,0.665,-0.376,0.556,1.1974079073197865,-0.305763333879484,0.557,1.0434958720708751,0.2951888080906614,0.3000450939914557,
7.297732592,0.693,-0.379,0.556,1.1922052324190464,-0.30462743740751647,0.557,0.9426353342172191,0.30750862952159247,0.30004539942192254,
7.318626881,0.72,-0.382,0.556,1.1868191548407003,-0.3039827311698154,0.556,0.8451823604732148,0.3091396618792834,0.3000433336833281,
7.337682724,0.747,-0.384,0.555,1.1823034375538082,-0.30375564155777185,0.556,0.7547622627765425,0.29695490621387965,0.3000458571231222,
7.357668877,0.775,-0.386,0.554,1.1771573218910358,-0.30299488300145294,0.556,0.6544016475080492,0.3037167154186987,0.30004833093606426,
7.377717018,0.802,-0.387,0.553,1.1733600008422662,-0.30240788218527825,0.554,0.5830523419731859,0.30863155893418903,0.3000004791391056,
7.397680998,0.829,-0.387,0.551,1.1682038693476509,-0.301730791426125,0.553,0.4852923621361115,0.3098918048683921,0.3000005080696351,
7.417670488,0.857,-0.387,0.549,1.1633844668115882,-0.3010061989069984,0.553,0.38719873328295523,0.31140943267566534,0.30000056721235263,
7.437859297,0.884,-0.387,0.547,1.1580941378837646,-0.3006756784595593,0.549,0.29377542884959357,0.3015754040426399,0.3000005215022524,
7.457774401,0.91,-0.386,0.546,1.1526155840444303,-0.2999087119089771,0.547,0.17765535288034962,0.30483293634708486,0.3000005018001808,
7.477711678,0.935,-0.385,0.544,1.1475535285597234,-0.29932393140227936,0.547,0.08681230366308193,0.30295060615782393,0.30000057148353276,
7.497703791,0.96,-0.383,0.542,1.1430101590432546,-0.29870416087593915,0.544,0.006008063649800236,0.29768659630432587,0.30000055482725974,
7.5177168850000005,0.984,-0.381,0.541,1.1384084510560404,-0.29795635093271594,0.542,-0.0766379333192821,0.2968618322713211,0.3000005346563129,
7.53766799,1.007,-0.378,0.54,1.1335361203475711,-0.2973827972084006,0.542,-0.16014804613600894,0.28976571766776066,0.30000057248446754,
7.557777882,1.029,-0.376,0.539,1.1284716572693347,-0.29645468863938795,0.54,-0.2417437337586752,0.2946223254832502,0.300000551138921,
7.577740908,1.05,-0.372,0.537,1.1236544950533982,-0.2958056049098839,0.539,-0.3187297737263994,0.2850310282391454,0.300000593813942,
7.59777832,1.069,-0.369,0.536,1.1187690790718803,-0.29512592998871096,0.539,-0.39002230549062955,0.2787482302315661,0.3000006352718424,
7.617690086,1.088,-0.366,0.535,1.1143910146192826,-0.2944923475431157,0.536,-0.4493656567891476,0.2714782593037699,0.3000005798234481,
7.637745619,1.105,-0.362,0.534,1.1098866377987062,-0.29385685095856273,0.535,-0.5054864895214453,0.261102216850933,0.3000005881019575,
7.657667398,1.121,-0.358,0.533,1.1053488413712325,-0.29321570754710646,0.535,-0.5653712988938732,0.25190760908708887,0.3000006286238925,
7.677681208,1.136,-0.354,0.531,1.1003958510333347,-0.2924920207342922,0.533,-0.6351047688461962,0.2447774316564384,0.3000006506592536,
7.697674513,1.149,-0.35,0.53,1.095714646757963,-0.2918267909127139,0.531,-0.6895447028939864,0.23572965955839512,0.3000006315201277,
7.7177026269999995,1.16,-0.346,0.529,1.0910409703521582,-0.29115854868202773,0.531,-0.735525203359226,0.2267289698363206,0.30000067921361373,
7.7378332610000005,1.17,-0.342,0.529,1.086540138382799,-0.2904897193156485,0.529,-0.7727238518182189,0.21766254863859583,0.30005853066768745,
7.757708311,1.02,-0.315,0.571,1.081946291313149,-0.28982642218925875,0.529,-0.3241454852041666,0.1474972946306273,0.3000072462062472,
7.777771711,1.019,-0.31,0.572,1.077402806828268,-0.2891576010689067,0.529,-0.3325408827980071,0.13583578426421994,0.3000070032338955,
7.79780817,1.018,-0.305,0.572,1.0731677877296777,-0.28856736984889847,0.572,-0.33601802350229415,0.12293362850847049,0.30000041008626577,
7.81774807,1.015,-0.301,0.572,1.0674420628599393,-0.2865745098484523,0.572,-0.36575883847909346,0.13681582117850824,0.3000004091799637,
7.837875605,1.011,-0.296,0.572,1.0626297797759197,-0.28554561133007766,0.572,-0.36705637522697665,0.12721179081660308,0.30000040831988795,
7.8577158449999995,1.006,-0.291,0.572,1.0566808189559778,-0.28265183521105997,0.572,-0.3871991619059567,0.1490907245478648,0.3000004070900672,
7.877723932,0.999,-0.287,0.573,1.0508391974511344,-0.2798696691460389,0.572,-0.3978918057714602,0.17026300316081705,0.3000003822088534,
7.897747755,0.99,-0.283,0.573,1.0454069995362403,-0.2777593455587169,0.572,-0.3877269589153679,0.1691553926610397,0.30000038046814265,
7.917669773,0.981,-0.278,0.573,1.0404101970184232,-0.27654966749641474,0.573,-0.3730535515053537,0.1548303751458763,0.30000039906941145,
7.937684059,0.97,-0.275,0.574,1.0352756903128433,-0.2749717890891665,0.573,-0.3517046992508572,0.1475384437151698,0.3000003740582206,
7.957737446,0.958,-0.271,0.575,1.0297627730948788,-0.2727803343686965,0.573,-0.3322454067737917,0.14585462042983183,0.3000003503870117,
7.977845907,0.953,-0.269,0.574,1.0253588011029642,-0.2726146112437476,0.575,-0.31343366133205697,0.11460776972142132,0.3000004119456463,
7.99774456,0.941,-0.266,0.574,1.0205640052125025,-0.2721866835406843,0.574,-0.27896278857000983,0.08203337373763091,0.30000038869613127,
8.017674923,0.93,-0.263,0.575,1.0154180342484156,-0.27078460654296255,0.574,-0.25963140302819415,0.07735159639796374,0.3000003642068844,
8.03766942,0.919,-0.261,0.576,1.0119011881925908,-0.27028866493903986,0.575,-0.2058190947928413,0.051723460878522885,0.30000035986251744,
8.058585882,0.906,-0.258,0.577,1.0077199850364746,-0.26986948039615266,0.576,-0.1556292458454107,0.025294620126753816,0.30000035510319634,
8.077783346,0.893,-0.256,0.578,1.0035755186392916,-0.2692239841266975,0.576,-0.12415019612050542,0.01872520158106272,0.3000003322916227,
8.097680569,0.878,-0.254,0.58,0.9988419398589261,-0.26921515432003096,0.578,-0.09820291514298879,0.0056121420102310015,0.3000003251535661,
8.117670298,0.866,-0.252,0.582,0.9947754227181173,-0.2688488305247623,0.58,-0.06658491152167455,-0.0007738573032783929,0.3000003187748625,
8.137726307,0.853,-0.251,0.584,0.9905920039733801,-0.2685645697986869,0.58,-0.03554121817252019,-0.005824186707414244,0.3000000028103572,
8.157683849,0.84,-0.249,0.585,0.9868282610676394,-0.2680016766712617,0.584,0.0017783804184611047,-0.007737111213607344,0.30000000325353926,
8.17770052,0.83,-0.247,0.587,0.9824124216162171,-0.26742074163656254,0.585,0.018562490185019723,-0.012822854342544973,0.300000003027576,
8.197684288,0.817,-0.245,0.588,0.9784791832390106,-0.26727883404425573,0.585,0.05037372552806306,-0.020560634031938193,0.3000000028346882,
8.21767664,0.805,-0.243,0.59,0.9741032853745005,-0.2660899008667131,0.588,0.06777117096457305,-0.006875530330986141,0.3000002928834913,
8.237664223,0.793,-0.242,0.591,0.9693639544288598,-0.26588315521213896,0.59,0.07976485337135235,-0.012182526500037467,0.3000003046928085,
8.257665873,0.781,-0.24,0.593,0.9652416894956413,-0.26565315935463,0.59,0.10643119818028264,-0.01857984226394544,0.3000002685104485,
8.277694941,0.778,-0.235,0.59,0.9607224571295866,-0.26479176093345164,0.593,0.09325794989410846,-0.017884612447221802,0.30000037660029794,
8.297761679,0.769,-0.233,0.59,0.9561526993714758,-0.2639237337318813,0.59,0.10482574568471702,-0.010231150627504359,0.3000003195547999,
8.317767859,0.761,-0.23,0.589,0.9518564874166701,-0.26338148913441184,0.59,0.1177558305975223,-0.016780426676915754,0.30000033813541194,
8.337680817,0.754,-0.228,0.588,0.9475590852749848,-0.2626721218690586,0.589,0.12366687993230326,-0.018442581171489905,0.3000003392887178,
8.357666731,0.746,-0.226,0.587,0.9429285224019432,-0.2620388421091898,0.588,0.1286249369918969,-0.024202406166570253,0.30000034021944777,
8.377690554,0.74,-0.223,0.585,0.9384673845455956,-0.2614728682507634,0.588,0.1341857415000871,-0.03079583317617114,0.3000003828405493,
8.397702932,0.734,-0.221,0.583,0.933794721464224,-0.2613247485274368,0.585,0.1382205406302189,-0.039719882697163575,0.300000366979444,
8.417745352,0.728,-0.219,0.581,0.9296513146503658,-0.26082642380299675,0.583,0.15140341097149895,-0.0427322138085767,0.30000037130551993,
8.437666416,0.724,-0.218,0.58,0.9252428023294218,-0.2603359934294101,0.583,0.1514054426558342,-0.04428944345530894,0.3000003936344232,
8.457671165,0.72,-0.216,0.578,0.9168138819004603,-0.25435769388243495,0.58,0.07987921922851042,0.03899958935691114,0.30000037588821216,
8.477687836,0.716,-0.215,0.577,0.9099579484884074,-0.2514889898409356,0.578,0.042563710704889283,0.06948388778310229,0.30000035709672135,
8.497660637,0.713,-0.213,0.576,0.903891580528029,-0.2490395859556816,0.578,0.029455133966583457,0.07611512228249644,0.30000037849077194,
8.517709732,0.711,-0.212,0.575,0.899996619279152,-0.24797139588949968,0.576,0.045674982065405816,0.06537921887054525,0.3000003612871467,
8.537694216,0.71,-0.211,0.575,0.8943436574449187,-0.24709623786724177,0.575,0.03362278604877007,0.0509569158310021,0.30000000341926053,
8.557672739000001,0.709,-0.211,0.574,0.8883896140084052,-0.24482596059330025,0.575,0.016408457753833195,0.06049122744313328,0.30000000362741,
8.577724457,0.708,-0.21,0.574,0.8838481604797468,-0.24450482114072603,0.574,0.026699785778896524,0.03313096574199622,0.30000000343823846,
8.597703218,0.708,-0.21,0.574,0.8793414874293592,-0.244803746520382,0.574,0.041649305437578076,-0.007272193623055306,0.3000000034418168,
8.617675543,0.709,-0.209,0.574,0.8739649511966089,-0.2435304783753679,0.574,0.02341629396520411,-0.00747103218278713,0.3000000034395558,
8.637727737,0.71,-0.209,0.574,0.8689273500592597,-0.24377631032758904,0.574,0.0191406566403497,-0.04247267670373379,0.30000000344063954,
8.657746077,0.711,-0.209,0.574,0.8646155212102813,-0.2435289112726714,0.574,0.02726735023030459,-0.06660932577337854,0.3000003444703991,
