Time,X,Y,Z,rx,ry,rz,Ux,Uy,Uz
6.235485077,-0.034,0.0,0.598,1.3775142574936197,0.015557934114375106,0.55,1.4999999990751047,-0.0262494302142767,0.30005714789980903,
6.255584001,-0.029,0.0,0.598,1.3765150572514178,0.013548408079222378,0.55,1.4999999990597666,-0.03170475543246109,0.30005781012614535,
6.275507927,-0.024,-0.001,0.598,1.3616058841719814,0.009539704899772673,0.598,1.499999995202945,-0.07477324946308568,0.3002702220436699,
6.295363664,-0.02,-0.001,0.597,1.351155376286161,0.006887017621102136,0.598,1.4999999946722113,-0.09346391265080282,0.30027440320035315,
6.315167188,-0.016,-0.001,0.597,1.3422897249431887,0.004840967029836064,0.597,1.4999999946834446,-0.0982511357589081,0.30025096401681534,
6.335194826,-0.012,-0.001,0.597,1.3330299404428747,0.0019241150377494794,0.597,1.4999999947102065,-0.10902794147113785,0.3002424801219275,
6.35520482,0.0,-0.001,0.595,1.3277593628147286,0.001984061704910936,0.597,1.4999999944669555,-0.05482048949363853,0.300255192568211,
6.375259638,0.004,-0.001,0.595,1.3240702745834245,0.0003380984755851303,0.595,1.499999994670004,-0.03698205026434997,0.3002629072064785,
6.39517498,0.009,-0.001,0.596,1.3170348367893447,-0.0014111062396535128,0.595,1.4999999947740157,-0.03931870268357231,0.3002516065174289,
6.415173769,0.015,-0.001,0.598,1.311017334831776,-0.0025067694356666094,0.596,1.4999999949050296,-0.036961692384782245,0.30024069235823475,
6.435174227,0.022,-0.001,0.599,1.3029107944287686,-0.004019416503120366,0.598,1.499999994835564,-0.03606878483798551,0.3002372523660782,
6.455274105,0.03,-0.001,0.601,1.2952731632735475,-0.005462990588979219,0.598,1.499999995118742,-0.037356304228049496,0.3002166792502106,
6.475342989,0.038,-0.001,0.603,1.2901029543857856,-0.006481608999527532,0.601,1.4999999950518452,-0.026506282706566867,0.3002192946861435,
6.495253801,0.048,-0.001,0.605,1.2846619087619484,-0.008608109429654145,0.603,1.4999999950949912,-0.046750802235220636,0.3002158506846931,
6.515179157,0.058,-0.001,0.606,1.2778567759099613,-0.009939806036397585,0.603,1.4999999952869725,-0.04815577710239137,0.3002015391804235,
6.535175562,0.07,-0.001,0.608,1.2728727903947903,-0.010308057467010289,0.606,1.499999995232906,-0.03859514863175843,0.3002030818239628,
6.555171013,0.082,-0.001,0.609,1.2676602899201432,-0.01113004149956538,0.608,1.4999999951681031,-0.03389743313704699,0.30020501240899494,
6.575246334,0.095,-0.001,0.61,1.2618811856243617,-0.012006907002376062,0.608,1.4999999953967726,-0.03342610789894649,0.30018963550835137,
6.595341205,0.11,-0.001,0.611,1.2533107764958826,-0.013200618645669798,0.61,1.4999999955732388,-0.03826397249718064,0.3001741934510073,
6.615290642,0.126,-0.001,0.612,1.2452712755060307,-0.014601304645215384,0.611,1.4999999959564667,-0.04659115931591895,0.300151002365487,
6.635205984,0.142,-0.001,0.612,1.2384912611672596,-0.01546341486150823,0.611,1.4999999962403259,-0.04676904715738316,0.30013579112994904,
6.655096769,0.159,-0.002,0.613,1.2327081136571676,-0.01733918111693015,0.612,1.4999999965803992,-0.06663894647023565,0.3001193448420138,
6.675098896,0.178,-0.002,0.613,1.2353019573764699,-0.0193905250432202,0.613,1.4999999959700248,-0.08326670462294156,0.30014903613767735,
6.695150375,0.197,-0.003,0.613,1.231247662039201,-0.02071721258931433,0.613,1.4999999962313262,-0.08396889967279393,0.3001353235463513,
6.715135336,0.223,-0.007,0.616,1.2302625625707444,-0.0236177801450843,0.613,1.4999999966948436,-0.10953493932702436,0.3001161459611276,
6.736006737,0.245,-0.008,0.617,1.226165121411974,-0.02617423869397249,0.616,1.4999999967639275,-0.13080486655444218,0.3001114624047394,
6.75522089,0.267,-0.009,0.616,1.2240136724069084,-0.02827737318221976,0.616,1.499999996967931,-0.13635084857406476,0.30010180337807535,
6.775165319,0.29,-0.01,0.616,1.216877287313791,-0.029967501445487203,0.616,1.4999999978154483,-0.13874872059369936,0.30006876996876164,
6.795118093,0.314,-0.012,0.615,1.2094856273798236,-0.03136632440298086,0.616,1.4999999982709058,-0.11967066223100536,0.30004858012551094,
6.815977096,0.339,-0.012,0.615,1.2055374204587115,-0.033528715710116286,0.616,1.4999999983159387,-0.1267899415869136,0.30004315510186397,
6.835162163,0.365,-0.014,0.615,1.1987732800068427,-0.03456884600058302,0.615,1.4999999987350334,-0.11100478783869487,0.30002671372175804,
6.855324983,0.389,-0.016,0.614,1.189859200513981,-0.03615322095585482,0.615,1.4999999977933614,-0.10182104051651794,0.3000263578194207,
6.875132322,0.414,-0.017,0.613,1.1833917866212622,-0.037921416275486626,0.615,1.4999999961721706,-0.10369529833463942,0.3000282143313021,
6.8951277730000005,0.441,-0.019,0.612,1.1750420830035269,-0.03758521044665187,0.613,1.4999652786451954,-0.06433449113112592,0.3000002769432487,
6.915115356,0.468,-0.022,0.61,1.1699684446970784,-0.038762414909827604,0.612,1.4418751312976537,-0.05136655673711163,0.30003369568633,
