Time,X,Y,Z,Vx,Vy,Vz,r,p,y,rx,ry,rz,Ux,Uy,Uz
6.009444714,0.273,0.036,0.337,-1.035,-0.155,-0.031,0.27,-5.63,2.22,1.6,-1.2,0.3,-1.5,1.5,0.5291000000000005,
6.019572735,0.263,0.035,0.338,-1.018,-0.149,-0.021,0.16,-5.96,2.21,1.6,-1.2,0.3,0.7858999999999966,-0.8795000000000015,-0.01160000000000001,
6.029676438,0.257,0.032,0.337,-0.988,-0.158,-0.022,0.14,-6.42,2.31,1.6,-1.2,0.3,0.8501000000000032,-0.9073999999999983,-0.040900000000000034,
6.039539338,0.246,0.031,0.338,-0.977,-0.156,-0.012,0.02,-6.79,2.32,1.6,-1.2,0.3,0.7827999999999982,-0.8767000000000016,-0.01160000000000001,
6.04955411,0.238,0.03,0.337,-0.964,-0.154,-0.014,-0.12,-7.21,2.39,1.6,-1.2,0.3,0.8333999999999999,-0.8759999999999983,-0.040900000000000034,
6.05958891,0.227,0.028,0.338,-0.952,-0.152,-0.004,-0.27,-7.71,2.4,1.6,-1.2,0.3,0.7961000000000015,-0.8896,-0.01160000000000001,
6.06959939,0.218,0.027,0.337,-0.937,-0.149,-0.003,-0.39,-8.34,2.49,1.6,-1.2,0.3,0.8323999999999983,-0.8739000000000016,-0.040900000000000034,
6.079919339,0.208,0.026,0.338,-0.922,-0.147,0.008,-0.5,-9.08,2.5,1.6,-1.2,0.3,0.8243999999999999,-0.8731999999999983,-0.01160000000000001,
6.090084315,0.2,0.025,0.337,-0.904,-0.144,0.017,-0.56,-9.95,2.61,1.6,-1.2,0.3,0.8599999999999999,-0.8725000000000015,-0.040900000000000034,
6.099794627,0.19,0.024,0.338,-0.885,-0.141,0.034,-0.59,-10.9,2.65,1.6,-1.2,0.3,0.8369999999999999,-0.8717999999999982,-0.01160000000000001,
6.109818221,0.182,0.023,0.338,-0.863,-0.138,0.043,-0.55,-11.92,2.76,1.6,-1.2,0.3,0.8725999999999999,-0.8711000000000015,-0.026600000000000023,
6.119762183,0.173,0.022,0.339,-0.842,-0.135,0.052,-0.47,-12.93,2.83,1.6,-1.2,0.3,0.8639000000000016,-0.8703999999999983,-0.012300000000000009,
6.12957573,0.165,0.021,0.339,-0.819,-0.133,0.047,-0.34,-13.99,3.01,1.6,-1.2,0.3,0.8844999999999998,-0.8697000000000016,-0.027300000000000022,
6.139546633,0.157,0.02,0.339,-0.797,-0.131,0.039,-0.17,-15.05,3.18,1.6,-1.2,0.3,0.8900999999999999,-0.8689999999999983,-0.027300000000000022,
6.149750948,0.149,0.018,0.339,-0.773,-0.129,0.028,0.02,-16.08,3.36,1.6,-1.2,0.3,0.8956999999999999,-0.8825999999999999,-0.027300000000000022,
6.159828425,0.141,0.018,0.341,-0.75,-0.125,0.025,0.2,-17.01,3.51,1.6,-1.2,0.3,0.9013,-0.8525999999999999,0.0013000000000000025,
6.169725419,0.134,0.016,0.341,-0.722,-0.124,0.016,0.39,-17.81,3.71,1.6,-1.2,0.3,0.9211999999999982,-0.8812,-0.028700000000000024,
6.179804564,0.126,0.015,0.341,-0.69,-0.123,0.008,0.59,-18.49,3.92,1.6,-1.2,0.3,0.9117999999999999,-0.8655000000000015,-0.028700000000000024,
6.189685584,0.12,0.014,0.341,-0.659,-0.121,0.003,0.77,-18.9,4.09,1.6,-1.2,0.3,0.9460000000000033,-0.8647999999999982,-0.028700000000000024,
6.199584008,0.113,0.013,0.341,-0.628,-0.12,-0.001,0.92,-19.12,4.25,1.6,-1.2,0.3,0.9358999999999982,-0.8641000000000015,-0.028700000000000024,
6.209454537,0.107,0.011,0.341,-0.594,-0.119,-0.004,1.04,-19.17,4.4,1.6,-1.2,0.3,0.9550999999999998,-0.8776999999999999,-0.028700000000000024,
6.219875813,0.101,0.01,0.341,-0.56,-0.119,-0.002,1.13,-19.1,4.54,1.6,-1.2,0.3,0.9593,-0.8619999999999983,-0.028700000000000024,
6.229495526,0.096,0.01,0.338,-0.525,-0.109,-0.021,1.11,-18.98,4.65,1.6,-1.2,0.3,0.9778000000000016,-0.847,-0.07160000000000007,
6.239611865,0.091,0.009,0.338,-0.489,-0.108,-0.015,1.15,-18.82,4.76,1.6,-1.2,0.3,0.9812999999999983,-0.8613000000000015,-0.026600000000000023,
6.249992133,0.086,0.009,0.338,-0.456,-0.105,-0.016,1.15,-18.68,4.88,1.6,-1.2,0.3,0.9848000000000015,-0.8462999999999998,-0.026600000000000023,
