Time,X,Y,Z,rx,ry,rz,Ux,Uy,Uz
6.17754817,0.124,-0.122,0.393,1.6,-1.2,0.3,-1.5,1.5,1.3299000000000005,
6.187538385,0.119,-0.12,0.392,1.6,-1.2,0.3,0.9616999999999982,-0.7259999999999966,-0.07940000000000003,
6.197672128,0.115,-0.118,0.391,1.6,-1.2,0.3,0.9795,-0.7274000000000032,-0.07870000000000003,
6.207470894,0.11,-0.116,0.39,1.6,-1.2,0.3,0.9680000000000015,-0.7287999999999998,-0.07800000000000003,
6.21741414,0.106,-0.114,0.389,1.6,-1.2,0.3,0.9857999999999998,-0.7301999999999998,-0.07730000000000004,
6.227437019,0.101,-0.112,0.388,1.6,-1.2,0.3,0.9742999999999984,-0.7315999999999998,-0.07660000000000003,
6.237297296,0.097,-0.11,0.388,1.6,-1.2,0.3,0.9921,-0.7329999999999999,-0.06160000000000001,
6.247321844,0.092,-0.108,0.387,1.6,-1.2,0.3,0.9806000000000015,-0.7343999999999998,-0.07590000000000002,
6.257436991,0.088,-0.106,0.387,1.6,-1.2,0.3,0.9984,-0.7357999999999998,-0.06090000000000001,
6.267430544,0.083,-0.104,0.387,1.6,-1.2,0.3,0.9868999999999983,-0.7371999999999999,-0.06090000000000001,
6.2772789,0.08,-0.103,0.386,1.6,-1.2,0.3,1.0190000000000015,-0.7528999999999982,-0.07520000000000002,
6.287319183,0.077,-0.101,0.386,1.6,-1.2,0.3,1.0210999999999983,-0.7393,-0.06020000000000001,
6.297411918,0.073,-0.099,0.386,1.6,-1.2,0.3,1.0089,-0.7406999999999999,-0.06020000000000001,
6.307430506,0.07,-0.097,0.386,1.6,-1.2,0.3,1.0260000000000016,-0.7420999999999999,-0.06020000000000001,
6.317457199,0.067,-0.096,0.386,1.6,-1.2,0.3,1.0280999999999982,-0.7578000000000015,-0.06020000000000001,
6.32746911,0.063,-0.095,0.386,1.6,-1.2,0.3,1.0159,-0.7584999999999983,-0.06020000000000001,
6.337377071,0.061,-0.094,0.386,1.6,-1.2,0.3,1.0473,-0.7592000000000015,-0.06020000000000001,
6.347400665,0.058,-0.093,0.386,1.6,-1.2,0.3,1.0344000000000015,-0.7598999999999982,-0.06020000000000001,
6.357358455,0.056,-0.093,0.386,1.6,-1.2,0.3,1.0508,-0.7748999999999999,-0.06020000000000001,
6.367501735,0.053,-0.092,0.386,1.6,-1.2,0.3,1.0378999999999983,-0.7606000000000015,-0.06020000000000001,
6.377476215,0.052,-0.092,0.386,1.6,-1.2,0.3,1.0686000000000015,-0.7755999999999998,-0.06020000000000001,
