Time,X,Y,Z,rx,ry,rz,Ux,Uy,Uz
6.018331766,0.025,-0.006,0.333,1.6,-1.2,0.3,-1.5,1.5,0.4719000000000005,
6.028293372,0.022,-0.004,0.333,1.6,-1.2,0.3,1.0596000000000017,-0.8071999999999999,-0.02310000000000002,
6.03817153,0.019,-0.002,0.334,1.6,-1.2,0.3,1.0616999999999983,-0.8085999999999999,-0.008800000000000006,
6.048149824,0.016,0.0,0.334,1.6,-1.2,0.3,1.0638000000000016,-0.8099999999999999,-0.02380000000000002,
6.057955742,0.012,0.002,0.335,1.6,-1.2,0.3,1.0515999999999999,-0.8113999999999999,-0.009500000000000008,
6.06813407,0.008,0.005,0.334,1.6,-1.2,0.3,1.0544,-0.7985000000000014,-0.03880000000000003,
6.077912569,0.005,0.007,0.334,1.6,-1.2,0.3,1.0714999999999983,-0.8148999999999998,-0.02380000000000002,
6.088041067,0.002,0.01,0.333,1.6,-1.2,0.3,1.0736000000000017,-0.8019999999999983,-0.03810000000000004,
6.098002196,0.0,0.012,0.333,1.6,-1.2,0.3,1.0899999999999999,-0.8183999999999999,-0.02310000000000002,
6.108099938,-0.003,0.013,0.333,1.6,-1.2,0.3,1.0771000000000015,-0.8341000000000015,-0.02310000000000002,
6.118029833,-0.006,0.015,0.333,1.6,-1.2,0.3,1.0791999999999984,-0.8204999999999998,-0.02310000000000002,
6.128124714,-0.008,0.016,0.333,1.6,-1.2,0.3,1.0956,-0.8361999999999983,-0.02310000000000002,
6.138162375,-0.01,0.018,0.332,1.6,-1.2,0.3,1.097,-0.8225999999999999,-0.03740000000000003,
6.148159266,-0.012,0.019,0.332,1.6,-1.2,0.3,1.0984,-0.8383000000000015,-0.022400000000000017,
6.158147335,-0.014,0.02,0.332,1.6,-1.2,0.3,1.0997999999999999,-0.8389999999999983,-0.022400000000000017,
6.168119908,-0.018,0.022,0.331,1.6,-1.2,0.3,1.0726,-0.8253999999999999,-0.03670000000000003,
6.178161383,-0.019,0.023,0.331,1.6,-1.2,0.3,1.1183000000000016,-0.8411000000000015,-0.021700000000000018,
6.188057185,-0.021,0.023,0.33,1.6,-1.2,0.3,1.1046999999999998,-0.8560999999999999,-0.03600000000000003,
6.198075533,-0.021,0.024,0.331,1.6,-1.2,0.3,1.1346999999999998,-0.8417999999999982,-0.0067000000000000046,
6.208123923,-0.022,0.024,0.331,1.6,-1.2,0.3,1.1203999999999983,-0.8567999999999999,-0.021700000000000018,
6.218030453,-0.022,0.023,0.331,1.6,-1.2,0.3,1.1354,-0.8711000000000015,-0.021700000000000018,
6.22816372,-0.022,0.022,0.331,1.6,-1.2,0.3,1.1354,-0.8703999999999983,-0.021700000000000018,
6.23804307,-0.022,0.022,0.331,1.6,-1.2,0.3,1.1354,-0.8553999999999999,-0.021700000000000018,
6.24804473,-0.021,0.02,0.331,1.6,-1.2,0.3,1.1497000000000015,-0.884,-0.021700000000000018,
6.257948399,-0.02,0.019,0.331,1.6,-1.2,0.3,1.1489999999999982,-0.8683000000000015,-0.021700000000000018,
6.268097163,-0.019,0.017,0.331,1.6,-1.2,0.3,1.1483000000000017,-0.8818999999999999,-0.021700000000000018,
6.277964354,-0.017,0.015,0.33,1.6,-1.2,0.3,1.1619,-0.8804999999999998,-0.03600000000000003,
6.287945986,-0.016,0.012,0.33,1.6,-1.2,0.3,1.1461999999999983,-0.8933999999999983,-0.02100000000000002,
6.297966481,-0.014,0.01,0.329,1.6,-1.2,0.3,1.1598,-0.877,-0.035300000000000026,
6.308059216,-0.012,0.006,0.329,1.6,-1.2,0.3,1.1584,-0.9042,-0.020300000000000016,
6.318132162,-0.008,0.004,0.329,1.6,-1.2,0.3,1.1856,-0.8727999999999999,-0.020300000000000016,
6.328116417,-0.006,0.0,0.329,1.6,-1.2,0.3,1.1542000000000001,-0.9,-0.020300000000000016,
6.338109255,-0.002,-0.002,0.328,1.6,-1.2,0.3,1.1814,-0.8685999999999999,-0.034600000000000034,
6.347985745,0.001,-0.006,0.328,1.6,-1.2,0.3,1.1642999999999983,-0.8957999999999999,-0.019600000000000017,
6.357976437,0.005,-0.011,0.327,1.6,-1.2,0.3,1.1765,-0.9072999999999984,-0.03390000000000003,
6.368180514,0.01,-0.016,0.326,1.6,-1.2,0.3,1.1880000000000017,-0.9038000000000016,-0.03320000000000003,
6.377935648,0.015,-0.02,0.327,1.6,-1.2,0.3,1.1844999999999986,-0.886,-0.0039000000000000007,
6.388146878,0.02,-0.026,0.326,1.6,-1.2,0.3,1.1810000000000016,-0.9117999999999999,-0.03320000000000003,
6.398175717,0.026,-0.031,0.326,1.6,-1.2,0.3,1.1918,-0.8932999999999984,-0.018200000000000015,
6.407957554,0.032,-0.037,0.325,1.6,-1.2,0.3,1.1876,-0.9041,-0.03250000000000003,
6.41784525,0.038,-0.043,0.325,1.6,-1.2,0.3,1.1834,-0.8999,-0.017500000000000016,
