Time,X,Y,Z,rx,ry,rz,Ux,Uy,Uz
5.971462489,0.016,-0.007,0.345,1.6,-1.2,0.3,-1.5,1.5,0.6434999999999998,
5.984982252,0.013,-0.004,0.344,1.6,-1.2,0.3,1.0658999999999983,-0.7922000000000016,-0.0458,
5.991391659,0.01,-0.002,0.344,1.6,-1.2,0.3,1.0680000000000016,-0.8085999999999999,-0.030799999999999987,
6.001283408,0.007,-0.001,0.344,1.6,-1.2,0.3,1.0700999999999983,-0.8242999999999984,-0.030799999999999987,
6.012914658,0.004,0.001,0.345,1.6,-1.2,0.3,1.0722000000000016,-0.8107000000000032,-0.016499999999999973,
6.021206379,0.0,0.003,0.344,1.6,-1.2,0.3,1.0599999999999998,-0.8120999999999998,-0.0458,
6.031191349,-0.002,0.005,0.345,1.6,-1.2,0.3,1.0914,-0.8134999999999998,-0.016499999999999973,
6.041113615,-0.004,0.007,0.345,1.6,-1.2,0.3,1.0928,-0.8148999999999998,-0.031499999999999986,
6.051244974,-0.007,0.009,0.346,1.6,-1.2,0.3,1.0799000000000016,-0.8162999999999998,-0.017199999999999972,
6.06115222,-0.009,0.011,0.345,1.6,-1.2,0.3,1.0962999999999998,-0.8176999999999999,-0.0465,
6.071142435,-0.012,0.012,0.345,1.6,-1.2,0.3,1.0833999999999984,-0.8333999999999983,-0.031499999999999986,
6.081175804,-0.014,0.014,0.345,1.6,-1.2,0.3,1.0997999999999999,-0.8197999999999999,-0.031499999999999986,
6.09118557,-0.016,0.015,0.347,1.6,-1.2,0.3,1.1012,-0.8355000000000015,-0.002899999999999958,
6.101300955,-0.018,0.016,0.347,1.6,-1.2,0.3,1.1026,-0.8361999999999983,-0.032899999999999985,
6.111393929,-0.019,0.017,0.348,1.6,-1.2,0.3,1.1183000000000016,-0.8369000000000015,-0.018599999999999978,
6.121127844,-0.021,0.018,0.348,1.6,-1.2,0.3,1.1046999999999998,-0.8375999999999982,-0.03359999999999999,
6.131447792,-0.022,0.018,0.348,1.6,-1.2,0.3,1.1203999999999983,-0.8525999999999999,-0.03359999999999999,
6.141149521,-0.023,0.019,0.348,1.6,-1.2,0.3,1.1211000000000015,-0.8383000000000015,-0.03359999999999999,
6.151321173,-0.023,0.019,0.349,1.6,-1.2,0.3,1.1360999999999999,-0.8532999999999998,-0.019299999999999977,
6.161113739,-0.024,0.019,0.349,1.6,-1.2,0.3,1.1217999999999984,-0.8532999999999998,-0.03429999999999999,
6.171251059,-0.024,0.018,0.349,1.6,-1.2,0.3,1.1368,-0.8675999999999983,-0.03429999999999999,
6.181286574,-0.024,0.018,0.349,1.6,-1.2,0.3,1.1368,-0.8525999999999999,-0.03429999999999999,
6.191343546,-0.023,0.017,0.349,1.6,-1.2,0.3,1.1511000000000016,-0.8669000000000016,-0.03429999999999999,
6.201388121,-0.022,0.015,0.348,1.6,-1.2,0.3,1.1503999999999983,-0.8804999999999998,-0.048600000000000004,
6.211539507,-0.021,0.016,0.348,1.6,-1.2,0.3,1.1497000000000015,-0.8361999999999983,-0.03359999999999999,
6.221207381,-0.021,0.014,0.347,1.6,-1.2,0.3,1.1346999999999998,-0.8797999999999999,-0.0479,
6.231224537,-0.019,0.012,0.347,1.6,-1.2,0.3,1.1633,-0.8784,-0.032899999999999985,
6.241201878,-0.017,0.009,0.347,1.6,-1.2,0.3,1.1619,-0.8913000000000015,-0.032899999999999985,
6.251101256,-0.015,0.007,0.347,1.6,-1.2,0.3,1.1604999999999999,-0.8748999999999999,-0.032899999999999985,
6.261008978,-0.012,0.004,0.346,1.6,-1.2,0.3,1.1733999999999984,-0.8877999999999983,-0.0472,
6.271199227,-0.009,0.001,0.347,1.6,-1.2,0.3,1.1713000000000016,-0.8857000000000016,-0.01789999999999997,
6.281095028,-0.006,-0.002,0.347,1.6,-1.2,0.3,1.1691999999999985,-0.8835999999999983,-0.032899999999999985,
6.291170359,-0.002,-0.006,0.347,1.6,-1.2,0.3,1.1814,-0.8957999999999999,-0.032899999999999985,
6.301103115,0.001,-0.01,0.347,1.6,-1.2,0.3,1.1642999999999983,-0.893,-0.032899999999999985,
6.311075449,0.005,-0.015,0.346,1.6,-1.2,0.3,1.1765,-0.9044999999999984,-0.0472,
6.321187973,0.01,-0.02,0.346,1.6,-1.2,0.3,1.1880000000000017,-0.9010000000000017,-0.032199999999999986,
6.331179858,0.015,-0.025,0.346,1.6,-1.2,0.3,1.1844999999999986,-0.8974999999999984,-0.032199999999999986,
6.341295243,0.016,-0.028,0.347,1.6,-1.2,0.3,1.1238000000000017,-0.8654000000000016,-0.01789999999999997,
6.351215601,0.022,-0.034,0.346,1.6,-1.2,0.3,1.1946,-0.9062,-0.0472,
6.361250162,0.027,-0.04,0.346,1.6,-1.2,0.3,1.1760999999999984,-0.902,-0.032199999999999986,
6.371351481,0.035,-0.044,0.347,1.6,-1.2,0.3,1.2155000000000002,-0.8692,-0.01789999999999997,
6.381142378,0.042,-0.05,0.347,1.6,-1.2,0.3,1.1956000000000018,-0.895,-0.032899999999999985,
6.391221047,0.05,-0.056,0.348,1.6,-1.2,0.3,1.205,-0.8907999999999999,-0.018599999999999978,
6.401282311,0.057,-0.063,0.348,1.6,-1.2,0.3,1.1850999999999985,-0.9008999999999984,-0.03359999999999999,
6.41119957,0.065,-0.07,0.348,1.6,-1.2,0.3,1.1945000000000001,-0.8960000000000017,-0.03359999999999999,
6.421106577,0.073,-0.078,0.348,1.6,-1.2,0.3,1.1889,-0.9054,-0.03359999999999999,
6.431231737,0.081,-0.085,0.349,1.6,-1.2,0.3,1.1833,-0.8854999999999984,-0.019299999999999977,
6.441076279,0.084,-0.09,0.351,1.6,-1.2,0.3,1.1062000000000016,-0.8520000000000016,-0.005699999999999962,
6.451198578,0.092,-0.097,0.351,1.6,-1.2,0.3,1.1756,-0.8770999999999983,-0.03569999999999999,
6.461183787,0.102,-0.106,0.351,1.6,-1.2,0.3,1.1986,-0.9008000000000016,-0.03569999999999999,
6.471333027,0.111,-0.114,0.352,1.6,-1.2,0.3,1.1772999999999985,-0.8802,-0.021399999999999975,
6.481411457,0.116,-0.122,0.354,1.6,-1.2,0.3,1.1138000000000017,-0.8745999999999999,-0.007799999999999967,
6.491172314,0.13,-0.128,0.356,1.6,-1.2,0.3,1.238999999999997,-0.8403999999999967,-0.009199999999999965,
6.501431227,0.14,-0.136,0.357,1.6,-1.2,0.3,1.1720000000000035,-0.8648000000000001,-0.024899999999999978,
6.511292458,0.15,-0.145,0.358,1.6,-1.2,0.3,1.164999999999997,-0.8735000000000017,-0.025599999999999984,
6.521098853,0.155,-0.152,0.36,1.6,-1.2,0.3,1.0865000000000018,-0.8385999999999985,-0.011999999999999969,
6.531196118,0.168,-0.159,0.362,1.6,-1.2,0.3,1.1973999999999985,-0.8337000000000017,-0.013399999999999967,
6.541239262,0.175,-0.167,0.364,1.6,-1.2,0.3,1.1025000000000018,-0.8431,-0.014799999999999973,
6.5511987210000004,0.189,-0.175,0.365,1.6,-1.2,0.3,1.1977000000000002,-0.8375,-0.030499999999999985,
6.561250449,0.2,-0.184,0.366,1.6,-1.2,0.3,1.1449999999999985,-0.8461999999999984,-0.031199999999999985,
6.571365357,0.211,-0.193,0.366,1.6,-1.2,0.3,1.1373000000000018,-0.8399000000000016,-0.0462,
6.58114934,0.223,-0.202,0.367,1.6,-1.2,0.3,1.1439000000000001,-0.8335999999999985,-0.031899999999999984,
6.591172219,0.234,-0.211,0.368,1.6,-1.2,0.3,1.1211999999999986,-0.8273,-0.03259999999999999,
6.601188422,0.238,-0.218,0.37,1.6,-1.2,0.3,1.0134,-0.7924,-0.018999999999999975,
6.611228466,0.25,-0.227,0.371,1.6,-1.2,0.3,1.125,-0.8161,-0.03469999999999999,
6.621144295,0.261,-0.237,0.372,1.6,-1.2,0.3,1.1023000000000018,-0.8241,-0.03539999999999999,
6.631297112,0.273,-0.246,0.373,1.6,-1.2,0.3,1.1089000000000002,-0.8028000000000001,-0.03609999999999999,
6.641153336,0.285,-0.256,0.375,1.6,-1.2,0.3,1.100499999999997,-0.8108000000000001,-0.02249999999999998,
6.651213169,0.297,-0.265,0.376,1.6,-1.2,0.3,1.0921000000000003,-0.7895000000000001,-0.03819999999999999,
6.66103673,0.302,-0.274,0.378,1.6,-1.2,0.3,0.9836000000000017,-0.7832,-0.024599999999999983,
6.671069861,0.314,-0.284,0.379,1.6,-1.2,0.3,1.0802,-0.7912,-0.040299999999999996,
6.6810033319999995,0.323,-0.293,0.381,1.6,-1.2,0.3,1.0288999999999984,-0.7698999999999985,-0.02669999999999998,
6.691186667,0.334,-0.302,0.382,1.6,-1.2,0.3,1.051200000000002,-0.7636000000000017,-0.04239999999999999,
6.701150895,0.344,-0.312,0.384,1.6,-1.2,0.3,1.0291999999999968,-0.7716000000000001,-0.028799999999999985,
6.711104155,0.356,-0.321,0.385,1.6,-1.2,0.3,1.0508000000000002,-0.7502999999999984,-0.0445,
6.721068144,0.368,-0.331,0.387,1.6,-1.2,0.3,1.0424000000000002,-0.7583000000000001,-0.030899999999999983,
